date,value,sourceName
2022-12-02 05:30:00 +0100,69,Alpha Watch
2022-12-02 05:31:00 +0100,69,Alpha Watch
2022-12-02 05:32:00 +0100,69,Alpha Watch
2022-12-02 05:34:00 +0100,69,Alpha Watch
2022-12-02 05:35:00 +0100,68,Alpha Watch
2022-12-02 05:36:00 +0100,69,Alpha Watch
2022-12-02 05:37:00 +0100,67,Alpha Watch
2022-12-02 05:38:00 +0100,67,Alpha Watch
2022-12-02 05:39:00 +0100,68,Alpha Watch
2022-12-02 05:40:00 +0100,68,Alpha Watch
2022-12-02 05:41:00 +0100,68,Alpha Watch
2022-12-02 05:42:00 +0100,67,Alpha Watch
2022-12-02 05:44:00 +0100,68,Alpha Watch
2022-12-02 05:45:00 +0100,66,Alpha Watch
2022-12-02 05:46:00 +0100,67,Alpha Watch
2022-12-02 05:47:00 +0100,68,Alpha Watch
2022-12-02 05:48:00 +0100,68,Alpha Watch
2022-12-02 05:49:00 +0100,69,Alpha Watch
2022-12-02 05:50:00 +0100,70,Alpha Watch
2022-12-02 05:51:00 +0100,69,Alpha Watch
2022-12-02 05:52:00 +0100,66,Alpha Watch
2022-12-02 05:54:00 +0100,66,Alpha Watch
2022-12-02 05:55:00 +0100,66,Alpha Watch
2022-12-02 05:56:00 +0100,68,Alpha Watch
2022-12-02 05:57:00 +0100,67,Alpha Watch
2022-12-02 05:58:00 +0100,68,Alpha Watch
2022-12-02 05:59:00 +0100,67,Alpha Watch
2022-12-02 06:00:00 +0100,67,Alpha Watch
2022-12-02 06:01:00 +0100,67,Alpha Watch
2022-12-02 06:02:00 +0100,66,Alpha Watch
2022-12-02 06:04:00 +0100,67,Alpha Watch
2022-12-02 06:05:00 +0100,64,Alpha Watch
2022-12-02 06:06:00 +0100,69,Alpha Watch
2022-12-02 06:07:00 +0100,68,Alpha Watch
2022-12-02 06:08:00 +0100,68,Alpha Watch
2022-12-02 06:09:00 +0100,64,Alpha Watch
2022-12-02 06:10:00 +0100,64,Alpha Watch
2022-12-02 06:11:00 +0100,63,Alpha Watch
2022-12-02 06:12:00 +0100,64,Alpha Watch
2022-12-02 06:14:00 +0100,68,Alpha Watch
2022-12-02 06:15:00 +0100,66,Alpha Watch
2022-12-02 06:16:00 +0100,65,Alpha Watch
2022-12-02 06:17:00 +0100,68,Alpha Watch
2022-12-02 06:18:00 +0100,67,Alpha Watch
2022-12-02 06:19:00 +0100,67,Alpha Watch
2022-12-02 06:20:00 +0100,63,Alpha Watch
2022-12-02 06:21:00 +0100,60,Alpha Watch
